2025-07-28 20:33:13,885 | INFO     | utilities.student_utils | Getting student level for student 67
2025-07-28 20:33:13,886 | INFO     | utilities.student_utils | Student 67 is in grade 11
2025-07-28 20:33:13,886 | INFO     | utilities.student_utils | Getting confidence level for student 67 in topic calculus
2025-07-28 20:33:13,887 | INFO     | utilities.student_utils | Student 67 is at 2 level and B+ score for calculus
2025-07-28 20:34:45,260 | INFO     | utilities.student_utils | Getting student level for student 67
2025-07-28 20:34:45,261 | INFO     | utilities.student_utils | Student 67 is in grade 11
2025-07-28 20:34:45,261 | INFO     | utilities.student_utils | Getting confidence level for student 67 in topic basics of financial mathematics
2025-07-28 20:34:45,262 | INFO     | utilities.student_utils | Student 67 is at 2 level and B+ score for basics of financial mathematics
2025-07-28 20:35:07,406 | INFO     | utilities.student_utils | Getting student level for student 64
2025-07-28 20:35:07,406 | INFO     | utilities.student_utils | Student 64 is in grade 12
2025-07-28 20:35:07,406 | INFO     | utilities.student_utils | Getting confidence level for student 64 in topic basics of financial mathematics
2025-07-28 20:35:07,407 | INFO     | utilities.student_utils | Student 64 is at 5 level and A score for basics of financial mathematics
2025-07-28 20:35:54,921 | INFO     | utilities.student_utils | Getting student level for student 64
2025-07-28 20:35:54,922 | INFO     | utilities.student_utils | Student 64 is in grade 12
2025-07-28 20:35:54,923 | INFO     | utilities.student_utils | Getting confidence level for student 64 in topic probability
2025-07-28 20:35:54,923 | INFO     | utilities.student_utils | Student 64 is at 5 level and A score for probability
2025-07-28 20:37:25,295 | INFO     | utilities.student_utils | Getting student level for student 65
2025-07-28 20:37:25,295 | INFO     | utilities.student_utils | Student 65 is in grade 12
2025-07-28 20:37:25,296 | INFO     | utilities.student_utils | Getting confidence level for student 65 in topic probability
2025-07-28 20:37:25,296 | INFO     | utilities.student_utils | Student 65 is at 2 level and B+ score for probability
2025-07-28 20:38:59,459 | INFO     | utilities.student_utils | Getting student level for student 65
2025-07-28 20:38:59,460 | INFO     | utilities.student_utils | Student 65 is in grade 12
2025-07-28 20:38:59,460 | INFO     | utilities.student_utils | Getting confidence level for student 65 in topic basics of financial mathematics
2025-07-28 20:38:59,460 | INFO     | utilities.student_utils | Student 65 is at 2 level and B+ score for basics of financial mathematics
2025-07-28 21:02:57,977 | INFO     | utilities.student_utils | Getting student level for student 64
