2025-06-18 22:24:47,130 | DEBUG    | app | Question: What are central and inscribed angles, and how do they relate to arcs?
2025-06-18 22:24:47,131 | DEBUG    | app | Chat history length: 294 words
2025-06-18 22:24:47,131 | INFO     | app | Calling pipeline
2025-06-18 22:25:05,922 | INFO     | app | New question from student ywa3324
2025-06-18 22:25:05,922 | DEBUG    | app | Question: What are central and inscribed angles, and how do they relate to arcs?
2025-06-18 22:25:05,923 | DEBUG    | app | Chat history length: 391 words
2025-06-18 22:25:05,924 | INFO     | app | Calling pipeline
2025-06-18 22:25:12,740 | INFO     | app | New question from student TestTT22
2025-06-18 22:25:12,741 | DEBUG    | app | Question: What are central and inscribed angles, and how do they relate to arcs?
2025-06-18 22:25:12,742 | DEBUG    | app | Chat history length: 699 words
2025-06-18 22:25:12,742 | INFO     | app | Calling pipeline
